"games_before_purchase","balance_before_purchase","purchase_type"
3,500,"iap"
5,45,"iap"
10,31,"iap"
0,0,"iap"
5,60,"iap"
799,8,"iap"
19,70,"iap"
19,180,"iap"
47,74,"iap"
22,90,"iap"
9,200,"iap"
5,40,"iap"
6,0,"iap"
33,41,"iap"
6,15,"iap"
4,40,"iap"
27,60,"iap"
6,90,"iap"
35,95,"iap"
1,430,"iap"
8,60,"iap"
7,150,"iap"
5,95,"iap"
8,157,"iap"
12,80,"iap"
7,0,"iap"
1,20,"iap"
0,500,"iap"
1,80,"iap"
2,10,"iap"
6,35,"iap"
16,40,"iap"
0,0,"iap"
24,143,"iap"
2,300,"iap"
0,0,"iap"
7,90,"iap"
2,30,"iap"
0,430,"iap"
8,22,"iap"
11,65,"iap"
18,20,"iap"
15,10,"iap"
2,0,"iap"
24,107,"iap"
11,190,"iap"
6,190,"iap"
2,60,"iap"
25,-479,"iap"
5,55,"iap"
12,23,"iap"
4,50,"iap"
0,500,"iap"
2,105,"iap"
121,7,"iap"
46,361,"iap"
6,10,"iap"
4,0,"iap"
5,30,"iap"
2,70,"iap"
1,230,"iap"
5,120,"iap"
888,502,"iap"
9,30,"iap"
7,155,"iap"
2,0,"iap"
2,30,"iap"
0,0,"iap"
4,60,"iap"
5,137,"iap"
10,145,"iap"
2,10,"iap"
3,10,"iap"
2,0,"iap"
7,85,"iap"
0,0,"iap"
1,250,"iap"
11,130,"iap"
34,70,"iap"
13,68,"iap"
3,160,"iap"
4,30,"iap"
3,160,"iap"
48,50,"iap"
4,30,"iap"
6,34,"iap"
20,305,"iap"
27,30,"iap"
30,280,"iap"
2,0,"iap"
2,130,"iap"
4,40,"iap"
5,0,"iap"
2,40,"iap"
11,22,"iap"
7,110,"iap"
0,500,"iap"
44,139,"iap"
213,267,"iap"
4,20,"iap"
3,80,"iap"
4,0,"iap"
5,10,"iap"
18,85,"iap"
5,40,"iap"
29,22,"iap"
8,60,"iap"
3,310,"iap"
188,114,"iap"
6,85,"iap"
10,101,"iap"
7,30,"iap"
3,15,"iap"
5,85,"iap"
6,45,"iap"
0,0,"iap"
5,30,"iap"
2,0,"iap"
4,180,"iap"
4,85,"iap"
151,181,"iap"
2,124,"iap"
4,10,"iap"
8,85,"iap"
4,30,"iap"
5,63,"iap"
20,80,"iap"
2,30,"iap"
2,10,"iap"
4,40,"iap"
6,34,"iap"
15,90,"iap"
16,681,"iap"
1,40,"iap"
14,110,"iap"
10,655,"iap"
1,45,"iap"
2,5,"iap"
5,70,"iap"
5,0,"iap"
2,0,"iap"
3,10,"iap"
1,80,"iap"
8,40,"iap"
5,40,"iap"
5,20,"iap"
4,70,"iap"
62,133,"iap"
3,0,"iap"
11,50,"iap"
11,319,"iap"
2,95,"iap"
3,40,"iap"
0,0,"iap"
4,10,"iap"
7,180,"iap"
4,130,"iap"
2,280,"iap"
3,30,"iap"
4,20,"iap"
9,65,"iap"
5,20,"iap"
3,35,"iap"
5,20,"iap"
13,120,"iap"
7,30,"iap"
5,0,"iap"
2,20,"iap"
6,15,"iap"
15,5,"iap"
5,0,"iap"
5,5,"iap"
115,8,"iap"
3,0,"iap"
15,55,"iap"
6,20,"iap"
3,45,"iap"
13,41,"iap"
13,573,"iap"
14,35,"iap"
3,50,"iap"
13,148,"iap"
0,500,"iap"
6,30,"iap"
5,0,"iap"
3,15,"iap"
2,45,"iap"
15,54,"iap"
5,0,"iap"
1026,743,"iap"
3,115,"iap"
5,0,"iap"
6,164,"iap"
15,221,"iap"
2,175,"iap"
3,303,"iap"
10,160,"iap"
3,30,"iap"
12,40,"iap"
4,40,"iap"
64,77,"iap"
2,10,"iap"
5,50,"iap"
38,20,"iap"
2,10,"iap"
4,125,"iap"
8,88,"iap"
3,5,"iap"
20,243,"iap"
3,410,"iap"
4,10,"iap"
47,10,"iap"
7,0,"iap"
3,290,"iap"
2,5,"iap"
12,5,"iap"
9,85,"iap"
5,10,"iap"
8,2,"iap"
2,260,"iap"
1,80,"iap"
376,37,"iap"
50,69,"iap"
44,47,"iap"
2,0,"iap"
5,40,"iap"
2,120,"iap"
3,60,"iap"
6,40,"iap"
2,70,"iap"
231,680,"iap"
0,430,"iap"
51,131,"iap"
3,0,"iap"
4,15,"iap"
2,50,"iap"
1,155,"iap"
2,19,"iap"
10,105,"iap"
14,32,"iap"
2,280,"iap"
8,160,"iap"
3,35,"iap"
